Source,SS,DF,MS,F,p-unc,np2,model,dependent_var
distractor_set,0.7155555555555559,5,0.1431111111111112,1.4771551724137937,0.19469449533695643,0.008193801211257574,gpt-4o,accuracy
Within,86.61333333333334,894,0.09688292319164804,,,,gpt-4o,accuracy
distractor_set,72.00237832276335,5,14.400475664552669,1.3411034345348256,0.24467669057344016,0.007966583366589132,gpt-4o,confidence
Within,8966.047562224203,835,10.737781511645752,,,,gpt-4o,confidence
distractor_set,1.1313797613426266,5,0.22627595226852532,0.3288017288857213,0.8957235309468903,0.0018355603661289932,gpt-4o,response_time
Within,615.2361242552043,894,0.6881835841780809,,,,gpt-4o,response_time
distractor_set,1.1022222222222204,5,0.22044444444444408,1.7896597651047312,0.1123500017647896,0.009910089910089893,gpt-4o-mini,accuracy
Within,110.12,894,0.12317673378076063,,,,gpt-4o-mini,accuracy
distractor_set,42.68617781218317,5,8.537235562436633,0.5155649303889182,0.7646337453135854,0.003063085286272501,gpt-4o-mini,confidence
Within,13892.994295560597,839,16.558992009011437,,,,gpt-4o-mini,confidence
distractor_set,113.87229542486463,5,22.774459084972925,3.4488374612565393,0.0042984114129340344,0.01892378305013722,gpt-4o-mini,response_time
Within,5903.544788842487,894,6.603517660897636,,,,gpt-4o-mini,response_time
distractor_set,1.2933333333333328,5,0.25866666666666654,3.560583042496406,0.0034077741877056944,0.01952495974235104,gpt-3.5-turbo,accuracy
Within,64.94666666666666,894,0.07264727815063385,,,,gpt-3.5-turbo,accuracy
distractor_set,11.13888888888864,5,2.227777777777728,0.41298773112146997,0.8399372387715369,0.0023044520174011476,gpt-3.5-turbo,confidence
Within,4822.5,894,5.394295302013423,,,,gpt-3.5-turbo,confidence
distractor_set,80303.54172069507,5,16060.708344139013,2.717742947322087,0.019047831922931507,0.014972326689357293,gpt-3.5-turbo,response_time
Within,5283160.894155985,894,5909.575944246068,,,,gpt-3.5-turbo,response_time
